abandonovaný | dva
dosměrovaný | dva osm
dosměrovat | dva osm
dosměrovatelnější | dva osm
dosměrovatelný | dva osm
dosměrovávání | osm
dosměrovávaný | osm
dosměrovávat | osm
dosmolení | osm
dosmolený | osm
dosmolit | osm
dosmrdění | osm
dosmrdět | osm
dosmrkávání | osm
dosmrkávaný | dva osm
dosmrkávat | dva osm
dosmýčení | osm
dosmýčený | osm
dosmýčit | osm
dosmýkání | osm
dosmýkaný | osm
dosmýkat | osm
dosmýknout | osm
dosmýknutí | osm
dosněžovaný | dva
dosolovat | dva
dosomrování | osm
dosomrovat | dva osm
dosoukávaný | dva
dosoukávat | dva
dospávaný | dva
dospávat | dva
dospět | pět
dospívající | dva
dospívat | dva
dospurtovat | dva
dostačovat | dva
dostávající | dva
dostávat | dva
dostavba | dva
dostehovaný | dva
dostěhovaný | dva
dostehovat | dva
dostěhovat | dva
dostepovaný | dva
dostepovat | dva
dostihovaný | dva
dostihovat | dva
dostojím | osm
dostonejme | osm
dostrkávaný | dva
dostrkávat | dva
dostrouhávanější | dva
dostrouhávaný | dva
dostrouhávat | dva
dostřečkovat | dva
dostředit | tři
dostředivější | tři
dostředivý | tři
dostřelit | tři
dostřelovat | dva
dostřihání | tři
dostřihaný | tři
dostřihat | tři
dostřihávání | tři
dostřihávaný | dva tři
dostříhávaný | dva
dostřihávat | dva tři
dostříhávat | dva
dostřihnout | tři
dostřihnutí | tři
dostřihování | tři
dostřihovaný | dva tři
dostřihovat | dva tři
dostříkávaný | dva
dostříkávat | dva
dostřikování | tři
dostřižený | tři
dostůjme | osm
dostupovat | dva
dosupět | pět
dosušovaný | dva
dosušovat | dva
dosvačení | dva
dosvačený | dva
dosvačit | dva
dosvědčme | osm
dosvětlat | dva
dosycovaný | dva
dosýčkovat | dva
dosypávající | dva
dosypávanější | dva
dosypávaný | dva
dosypávat | dva
došamponovat | dva
došaškovat | dva
došermovat | dva
došetřit | tři
došetřovaný | dva
došetřovat | dva
došikanovaný | dva
došikanovat | dva
došilhávat | dva
došívanější | dva
došívaný | dva
došívat | dva
doškatulkovat | dva
doškolovací | dva
doškolovat | dva
doškrabávaný | dva
doškrabávat | dva
doškrabovaný | dva
doškrabovat | dva
doškrtávaný | dva
doškrtávat | dva
doškubávaný | dva
doškubávat | dva
doškvařený | dva
doškvařit | dva
došlapovat | dva
došlukovat | dva
došplhávat | dva
došponovat | dva
došroubovaný | dva
došroubovat | dva
doštepovaný | dva
doštepovat | dva
doštipovaný | dva
doštipovat | dva
doštosovaný | dva
doštosovat | dva
došťouchávaný | dva
došťouchávat | dva
doštukovaný | dva
doštukovat | dva
doštupovaný | dva
doštupovat | dva
došvařený | dva
došvihat | dva
dotahovanější | dva
dotahovaný | dva
dotahovat | dva
dotankovat | dva
dotapetovaný | dva
dotapetovat | dva
dotazovací | dva
dotazovaný | dva
dotazovat | dva
dotečkovat | dva
dotelefonovat | dva
dotepávaný | dva
dotepávat | dva
dotestovanější | dva
dotestovaný | dva
dotestovat | dva
dotetovaný | dva
dotetovat | dva
dotikávat | dva
dotiskovat | dva
dotitulkovat | dva
dotkávanější | dva
dotkávaný | dva
dotkávat | dva
dotlačovanější | dva
dotlačovaný | dva
dotlačovat | dva
dotloukávanější | dva
dotloukávaný | dva
dotloukávat | dva
dotmelovat | dva
dotovaný | dva
dotovat | dva
dotransformování | osm
dotransformovaný | dva osm
dotransformovat | dva osm
dotransformovávat | osm
dotransportovanější | dva
dotransportovaný | dva
dotransportovat | dva
dotrénovat | dva
dotrhávající | dva
dotrhávanější | dva
dotrhávaný | dva
dotrhávat | dva
dotrpět | pět
dotrylkovat | dva
dotřepávaný | dva
dotřepávat | dva
dotřídit | tři
dotřiďování | tři
dotřiďovaný | dva tři
dotřiďovat | dva tři
dotříštit | tři
dotvarování | dva
dotvořit | tři
doubrava | dva
doučesávaný | dva
doučesávat | dva
doučovací | dva
doučovanější | dva
doučovaný | dva
doučovat | dva
doúčtovanější | dva
doúčtovaný | dva
doúčtovat | dva
doufávat | dva
doúpět | pět
doutnávat | dva
doutnavka | dva
douvažování | dva
douvažující | dva
doužívat | dva
dováhat | dva
dovalení | dva
dovalený | dva
dovalit | dva
dovartování | dva
dovaření | dva
dovařený | dva
dovařit | dva
dovařování | dva
dovázanější | dva
dovázaný | dva
dovázat | dva
dovazující | dva
dovážka | dva
dovažování | dva
dovažující | dva
dovídat | dva
dovírající | dva
dovíranější | dva
dovíraný | dva
dovírat | dva
dovkládanější | dva
dovkládaný | dva
dovkládat | dva
dovolací | dva
dovolající | dva
dovolanější | dva
dovolaný | dva
dovolat | dva
dovolenka | dva
dovracení | dva
dovracený | dva
dovracet | dva
dovrhaný | dva
dovrhat | dva
dovrkat | dva
dovršitelka | dva
dovrtaný | dva
dovrtat | dva
dovybavení | dva
dovybavený | dva
dovybavit | dva
dovybavování | dva
dovybíraný | dva
dovybírat | dva
dovybraný | dva
dovybrat | dva
dovyjasnění | dva
dovyjasněný | dva
dovyjasnit | dva
dovykat | dva
dovykládanější | dva
dovykládaný | dva
dovykládat | dva
dovyprávět | pět
dovysílaný | dva
dovysílat | dva
dovytvořit | tři
dovzdělaný | dva
dovzdělat | dva
dovzdychat | dva
dovztekaný | dva
dovztekat | dva
doxeroxovaný | dva
doxeroxovat | dva
dozáplatovaný | dva
dozáplatovat | dva
dozavírající | dva
dozavíranější | dva
dozavíraný | dva
dozavírat | dva
dozaznívat | dva
dozbrojovaný | dva
dozbrojovat | dva
dozlatova | dva
dozmatkovat | dva
doznačkovat | dva
doznávací | dva
doznávanější | dva
doznávaný | dva
doznávat | dva
doznívající | dva
doznívat | dva
dozobávaný | dva
dozobávat | dva
dozorovací | dva
dozorovaný | dva
dozorovat | dva
dozpívaný | dva
dozpívat | dva
dozrávající | dva
dozrávat | dva
dozvat | dva
dozvedaný | dva
dozvedat | dva
dozvídat | dva
dožertovat | dva
dožívající | dva
dožívající | dva
dožívanější | dva
dožívaný | dva
dožívat | dva
dožižlávat | dva
dožonglovat | dva
dožvástat | dva
dožvatlání | dva
dožvýkaný | dva
dožvýkat | dva
dramatisovaný | dva
dramatisovat | dva
dramatizovaný | dva
dramatizovat | dva
drancovaný | dva
drancovat | dva
dranžírovací | dva
draslovka | dva
drátkovaný | dva
drátkovat | dva
drátovat | dva
drátovka | dva
drátovna | dva
dratvička | dva
drážkovací | dva
drážkovaný | dva
drážkovat | dva
drbávaný | dva
drbávat | dva
drezírovanější | dva
drezírovaný | dva
drezírovat | dva
driblovaný | dva
driblovat | dva
driftovat | dva
drilovaný | dva
drilovat | dva
drkotávat | dva
drnovka | dva
drobnochovatel | dva
drobnochovatelův | dva
drogovat | dva
druhovýroba | dva
druzírovací | dva
druzírovaný | dva
druzírovat | dva
drvodělka | dva
drvoštěpka | dva
država | dva
dřepět | pět
dřevařský | dva
dřevařství | dva
dřevař | dva
dřevařův | dva
dřevěnka | dva
dřevina | dva
dřevnatější | dva
dřevnatět | dva devět
dřevnatý | dva
dřevodílna | dva
dřevokazný | dva
dřevokaz | dva
dřevokazův | dva
dřevomorka | dva
dřevona | dva
dřevorytina | dva
dřevořezba | dva
dřevosklad | dva
dřevotříska | dva
dřevozpracující | dva
dřevozpracující | dva
dřívejška | dva
dřívějška | dva
dublovací | dva
dublovaný | dva
dublovat | dva
ducávat | dva
duhovka | dva
dukovanský | dva
důlkovací | dva
důlkovaný | dva
důlkovat | dva
dumávat | dva
dumlávaný | dva
dumlávat | dva
dupávanější | dva
dupávaný | dva
dupávat | dva
duplikovanější | dva
duplikovaný | dva
duplikovat | dva
dusávaný | dva
dusávat | dva
dušovaný | dva
dušovat | dva
důvěra | dva
dva | dva
dvaasedmdesátihodinový | sedm
dvacátý | dva
dvacet | dva
dvacetibitový | dva
dvacetibodový | dva
dvaceticentimetrový | dva
dvacetice | dva
dvacetičlenný | dva
dvacetidenní | dva
dvacetihodinový | dva
dvacetikilometrový | dva
dvacetikilový | dva
dvacetikorunový | dva
dvacetikusový | dva
dvacetiletý | dva
dvacetilitrový | dva
dvacetilůžkový | dva
dvacetimetrový | dva
dvacetimetrový | dva
dvacetimilimetrový | dva
dvacetimilionový | dva
dvacetimiliónový | dva
dvacetimílový | dva
dvacetiminutový | dva
dvacetimístný | dva
dvacetinásobný | dva
dvacetiprocentní | dva
dvacetiřádkový | dva
dvacetisekundový | dva
dvacetistránkový | dva
dvacetistupňový | dva
dvacetitisící | dva
dvacetitisícový | dva
dvacetitunový | dva
dvacetiventilový | dva
dvacetivteřinový | dva
dvacetkrát | dva
dvacetník | dva
dvacíti | dva
dvacítkový | dva
dvakrát | dva
dvakráte | dva
dvanácterák | dva
dvanácterákův | dva
dvanácterník | dva
dvanácterníkový | dva
dvanáctero | dva
dvanácteronásobný | dva
dvanáctery | dva
dvanácterý | dva
dvanáct | dva
dvanáctibitový | dva
dvanáctibodový | dva
dvanáctibodový | dva
dvanáctiboký | dva
dvanácticentimetrový | dva
dvanáctice | dva
dvanáctičlenný | dva
dvanáctidenní | dva
dvanáctihodinový | dva
dvanáctikilometrový | dva
dvanáctikilový | dva
dvanáctikolový | dva
dvanáctikorunový | dva
dvanáctiletý | dva
dvanáctilitrový | dva
dvanáctilůžkový | dva
dvanáctiměsíční | dva
dvanáctimetrový | dva
dvanáctimilimetrový | dva
dvanáctimilionový | dva
dvanáctimiliónový | dva
dvanáctimílový | dva
dvanáctiminutový | dva
dvanáctinásobný | dva
dvanáctiposchoďový | dva
dvanáctiroční | dva
dvanáctiřádkový | dva
dvanáctisekundový | dva
dvanáctisemestrový | dva
dvanáctistěn | dva
dvanáctistránkový | dva
dvanáctistrunný | dva
dvanáctistupňový | dva
dvanáctitisícový | dva
dvanáctitónový | dva
dvanáctitýdenní | dva
dvanáctiúhelníkový | dva
dvanáctiválcový | dva
dvanáctiválec | dva
dvanáctkový | dva
dvanáctkrát | dva
dvanáctkráte | dva
dvanáctník | dva
dvanáctníkový | dva
dvanáctý | dva
dvěma | dva
dvěstěgramový | dva
dvěstěhektarový | dva
dvěstěhlavý | dva
dvěstěmiligramový | dva
dvěstěpatrový | dva
dvinohradský | dva
dvířka | dva
dvojaký | dva
dvojbajtový | dva
dvojbarevný | dva
dvojbrankový | dva
dvojčátka | dva
dvojhláska | dva
dvojhlasný | dva
dvojhlasý | dva
dvojhlavňový | dva
dvojhlavý | dva
dvojhmat | dva
dvojhra | dva
dvojchroman | dva
dvojička | dva
dvojjazýčkový | dva
dvojjazyčný | dva
dvojjazyčný | dva
dvojkařčin | dva
dvojkař | dva
dvojkařův | dva
dvojka | dva
dvojklaný | dva
dvojkolka | dva
dvojkombinace | dva
dvojlinka | dva
dvojmocnina | dva
dvojpapežství | dva
dvojpísmenný | osm
dvojpodlažní | dva
dvojpohlavní | dva
dvojpohlavný | dva
dvojprogram | dva
dvojramenný | dva
dvojřad | dva
dvojřadový | dva
dvojsedadlový | dva
dvojsemestrový | osm
dvojslabičný | dva
dvojsměnný | osm
dvojsmysl | osm
dvojsmyslný | osm
dvojsnímkový | osm
dvojstránka | dva
dvojstranný | dva
dvojtečka | dva
dvojtřídka | dva
dvojzápas | dva
dvojznačný | dva
dvojznak | dva
dvojznakový | dva
dvora | dva
dvořaččin | dva
dvořan | dva
dvořanský | dva
dvořanstvo | dva
dvořanův | dva
dvouaktový | dva
dvouapsidový | dva
dvouapůldenní | dva
dvouapůlhodinový | dva
dvouapůlkilometrový | dva
dvouapůllitrový | dva
dvouapůlměsíční | dva
dvouapůlmetrový | dva
dvouapůlminutový | dva
dvouapůlroční | dva
dvouapůltýdenní | dva
dvouargumentový | dva
dvouatomový | dva
dvoubajtový | dva
dvoubarevný | dva
dvoubrankový | dva
dvoudolarový | dva
dvouetapový | dva
dvoufakultní | dva
dvouhadicový | dva
dvouhaléřový | dva
dvouhektarový | dva
dvouhlasný | dva
dvouhlasý | dva
dvouhlavňový | dva
dvouhlavový | dva
dvouhlavý | dva
dvouhranolový | dva
dvouhra | dva
dvoujazyčný | dva
dvoukanálový | dva
dvoukilogramový | dva
dvouklanný | dva
dvoukolejka | dva
dvoukolka | dva
dvoukoruna | dva
dvouletka | dva
dvoulinka | dva
dvoumegabytový | dva
dvoumiliardový | dva
dvounápravový | dva
dvounožka | dva
dvouocasý | dva
dvoupalácový | dva
dvoupalcový | dva
dvoupatrový | dva
dvoupísmenný | osm
dvoupísmenový | osm
dvoupočitadlový | dva
dvoupodlažní | dva
dvouramenný | dva
dvouručka | dva
dvouřad | dva
dvouřadový | dva
dvouřadý | dva
dvousedadlový | dva
dvousemestrový | osm
dvousetgramový | dva osm
dvousethlavý | dva
dvousetkilogramový | dva osm
dvousetkilometrový | osm
dvousetkoruna | dva
dvousetmarkový | dva osm
dvousetmetrový | osm
dvousetmiliardový | dva osm
dvousetmilionový | osm
dvousetmiliónový | osm
dvousetmílový | osm
dvouslabičný | dva
dvousměnný | osm
dvousměnný | osm
dvousměrný | osm
dvousoustavový | dva
dvoustanicový | dva
dvoustavový | dva
dvoustavový | dva
dvoustrannější | dva
dvoustranný | dva
dvoutaktní | dva
dvoutisícikoruna | dva
dvoutlačítkový | dva
dvoutraktový | dva
dvoutřetinový | tři
dvoutřídka | dva
dvouvteřinový | tři
dvouwattový | dva
dvouznačný | dva
dvouznakový | dva
dvouzrnka | dva
dýhovka | dva
dyjskosvratecký | dva
dymnivka | dva
dynamizovaný | dva
dynamizovat | dva
dysprosium | osm
džínovina | dva
džusovat | dva
editovací | dva
editovaný | dva
editovat | dva
editovatelný | dva
edukovatelný | dva
egocentrismus | osm
egoismus | osm
egotismus | osm
elektrikářčin | tři
elektromagnetismus | osm
elektřina | tři
elitářčin | tři
empiriokriticismus | osm
encyklopedismus | osm
endosperm | osm
endosymbiont | osm
environmentalismus | osm
epimorfismus | osm
erodovaný | dva
erodovat | dva
erotismus | osm
erudovanější | dva
erudovaný | dva
esoterismus | osm
etnocentrismus | osm
etnomuzikoložka | nula
eudaimonismus | osm
eurocentrismus | osm
europeismus | osm
europesimista | osm
europesimistčin | osm
europesimistka | osm
europesimistův | osm
eurorealismus | osm
eventualita | nula
evidovaný | dva
evidovat | dva
evropeismus | osm
exhibicionismus | osm
existencionalismus | osm
exorcismus | osm
exotismus | osm
expandovaný | dva
expandovat | dva
expanzionismus | osm
expedovaný | dva
expedovat | dva
explodovat | dva
expresionismus | osm
extendovaný | dva
extendovat | dva
extrudovaný | dva
extrudovat | dva
ezoterismus | osm
fachidiotismus | osm
falopletysmograf | osm
federalizovaný | dva
federalizovat | dva
federovaný | dva
fedrovaný | dva
fedrovat | dva
fenomenalismus | osm
fládrovací | dva
fládrovaný | dva
fládrovat | dva
fluidizovaný | dva
fluoridovaný | dva
fordismus | osm
formalismus | osm
fosfomolybdenan | osm
francouzštinářčin | tři
franštinářčin | tři
fundovanější | dva
fundovaný | dva
fundovat | dva
funkcionalismus | osm
fušerství | šest
geometrismus | osm
globalismus | osm
glosématika | osm
graderelevator | dva
gradovaný | dva
gradovat | dva
graduovanější | dva
graduovaný | dva
graduovat | dva
granulace | nula
granulační | nula
granulka | nula
granulovací | nula
granulovanější | nula
granulovaný | nula
granulovat | nula
hadovka | dva
hadrovatět | dva
haldovina | dva
handicapovaný | dva
handicapovat | dva
handlovat | dva
handrkovaný | dva
handrkovat | dva
hašteřilka | tři
hašteřit | tři
hašteřivější | tři
hašteřivý | tři
hazardovat | dva
hedonismus | osm
hédonismus | osm
hegemonismus | osm
heliocentrismus | osm
hendikepovat | dva
hermafroditismus | osm
heroismus | osm
historicismus | osm
historismus | osm
hladovka | dva
hledávaný | dva
hledávat | dva
hlídávat | dva
hlídkovací | dva
hlídkovat | dva
hlodávaný | dva
hlodávat | dva
hnědovláska | dva
hnědovlasý | dva
hnízdovat | dva
hodinovka | dva
hodnostářčin | tři
hodokvas | dva
hodovat | dva
hochštaplerství | šest
holdovací | dva
holdovaný | dva
holdovat | dva
holismus | osm
hostmi | osm
hostomický | osm
hromádkovací | dva
hromádkovaný | dva
hromádkovat | dva
hrudkovna | dva
hřadovat | dva
hudrovat | dva
hvězdičkovaný | dva
hvězdičkovat | dva
hvězdnicotvarý | dva
hydratovaný | dva
hydratovat | dva
hydroelektřina | tři
hydrogenovaný | dva
hydrogensolemi | osm
hydrogensolím | osm
hydrogenuhličitan | nula
hydroisoterma | osm
hydrolizovatelný | dva
hydrolyzovaný | dva
hydroxypropylovaný | dva
hypnotismus | osm
chatařčin | tři
chladívanější | dva
chladívaný | dva
chladívat | dva
chlupatět | pět
chodívat | dva
chraptět | pět
chromatismus | osm
chroptět | pět
chrtařčin | tři
idealizovanější | dva
idealizovaný | dva
idealizovat | dva
identifikovaný | dva
identifikovat | dva
identifikovatelný | dva
ideologizovaný | dva
ideologizovat | dva
idiotismus | osm
iluzionismus | osm
impresionismus | osm
imunohistochemický | osm
imunohistochemie | osm
indexovací | dva
indexovaný | dva
indexovaný | dva
indexovat | dva
indikovaný | dva
indikovat | dva
indisponovaný | dva
indisponovat | dva
individualismus | dva
individualista | nula
individualistčin | dva
individualistický | dva
individualističtější | dva
individualistka | nula
individualistův | dva
individualita | nula
individualizace | nula
individualizování | dva
individualizovaný | nula
individualizovat | nula
individualizující | dva
indoevropeista | dva
indoevropeistika | dva
indoevropeistka | dva
indosament | osm
indosovaný | dva
indosovat | dva
indosovatelný | dva
indukovaný | dva
indukovat | dva
industrializace | nula
industrializovaný | nula dva
industrializovat | nula dva
injakulace | nula
inkulturace | nula
inokulovaný | nula
inokulovat | nula
institucionalismus | osm
institucionalizace | nula
institucionalizovaný | nula
institucionalizovat | nula
instrumentalista | nula
instrumentalistka | nula
intelektualita | nula
intelektualizovat | nula
intelektuálka | nula
interakcionismus | osm
internacionalismus | osm
intervencionalismus | osm
intervencionismus | osm
intrikářčin | tři
invalidizovat | dva
invalidovna | dva
inzultace | nula
inzultovat | nula
iracionalismus | osm
ironismus | osm
jádrovací | dva
jádrovaný | dva
jádrovat | dva
jádrovina | dva
jachtařčin | tři
jedenáctibrankový | jedna
jedenáctikilogramový | jedna
jedenáctiletka | jedna
jedenáctimiliardový | jedna
jedenáctipatrový | jedna
jedenáctista | jedna
jedenáctistka | jedna
jedenáctisvazkový | jedna dva
jedenáctka | jedna
jedenačtyřicátý | jedna tři čtyři
jedenapůldenní | jedna
jedenapůlhodinový | jedna
jedenapůlkilometrový | jedna
jedenapůllitrový | jedna
jedenapůlměsíční | jedna
jedenapůlmetrový | jedna
jedenapůlminutový | jedna
jedenapůlroční | jedna
jedenapůltýdenní | jedna
jedenašedesátiletý | jedna
jednací | jedna
jednající | jedna
jednak | jedna
jedna | jedna
jednanější | jedna
jednaný | jedna
jednatelčin | jedna
jednatelský | jedna
jednatelství | jedna
jednatel | jedna
jednatelův | jedna
jednat | jedna
jednatřicetibodový | jedna
jednávající | jedna dva
jednávat | jedna dva
jedničkářka | jedna
jednička | jedna
jednoaktovka | dva
jednoaktový | jedna
jednoatomový | jedna
jednoatributový | jedna
jednobajtový | jedna
jednobarevnější | jedna
jednobarevný | jedna
jednobrankový | jedna
jednočárkovaný | jedna dva
jednodolarový | jedna
jednohlas | jedna
jednohlasný | jedna
jednohlasý | jedna
jednohlavňový | jedna
jednohlavový | jedna
jednohlavý | jedna
jednohubka | jedna
jednojazyčný | jedna
jednokanálový | jedna
jednokarburátorový | jedna
jednokilogramový | jedna
jednokolejka | jedna
jednolampový | jedna
jednolanový | jedna
jednomandátový | jedna
jednomarkový | jedna
jednomiliardový | jedna
jednooperační | jedna
jednopalcový | jedna
jednopalubní | jedna
jednopalubový | jedna
jednopásmový | osm
jednopaticový | jedna
jednopatrový | jedna
jednopísmenný | osm
jednopísmenový | osm
jednoplatový | jedna
jednopodlažní | jedna
jednoprogramový | jedna
jednoramenný | jedna
jednoranový | jedna
jednořadový | jedna
jednořadý | jedna
jednosedadlový | jedna
jednosemestrový | osm
jednoslabičný | jedna
jednosměnný | osm
jednosměnný | osm
jednosměrný | osm
jednosměrový | osm
jednosnímkový | osm
jednostavový | jedna
jednostojanový | jedna
jednostrannější | jedna
jednostranný | jedna
jednosvazkový | jedna dva
jednota | jedna
jednotka | jedna
jednotlivina | dva
jednotraktový | jedna
jednotřídka | jedna
jednouživatelský | jedna dva
jednovaječný | jedna dva
jednovýznamový | dva
jednuška | jedna
jedovatější | dva
jedovatý | dva
jedovka | dva
jedvaže | dva
ještěřička | tři
jetřichovský | tři
jezdívat | dva
jídávaný | dva
jídávat | dva
jitřit | tři
jitřivější | tři
jitřivý | tři
jodizovaný | dva
jódlovaný | dva
jódlovat | dva
jódovaný | dva
jodovaný | dva
jodovat | dva
jódovat | dva
jozefinismus | osm
kadeřávka | dva
kádrovací | dva
kádrovaný | dva
kádrovat | dva
kádrovka | dva
kaktusářčin | tři
kalandrovací | dva
kalandrovaný | dva
kalandrovat | dva
kandovaný | dva
kandovat | dva
kandysovaný | dva
kandysovat | dva
kantořina | tři
kapalnět | pět
kardiostimulátor | osm
kardiovaskulární | dva
kartářčin | tři
katabolismus | osm
katastrofismus | osm
katatrofismus | osm
katolicismus | osm
kdovíjak | dva
kdovíjaký | dva
kdovíjaký | dva
kdovíkam | dva
kdovínač | dva
kdožvíjak | dva
kdožvíkam | dva
kladivářka | dva
klerofašismus | osm
kmotřenčin | tři
kmotřička | tři
kmotřin | tři
kodifikovanější | dva
kodifikovaný | dva
kodifikovat | dva
kódovací | dva
kódovač | dva
kódovačův | dva
kódovaný | dva
kódovat | dva
koedukovaný | dva
koincidovaný | dva
koincidovat | dva
kolaudovaný | dva
kolaudovat | dva
koledovaný | dva
koledovat | dva
kolektivismus | osm
kolidovat | dva
kolotočářčin | tři
komandovaný | dva
komandovat | dva
komercialismus | osm
komplementářčin | tři
komsomolcův | osm
komsomolčin | osm
komsomolec | osm
komsomolka | osm
komsomolský | osm
komsomolský | osm
komsomolštější | osm
komunismus | osm
konceptismus | osm
konceptualismus | osm
konceptualista | nula
konceptualistka | nula
konceptualizace | nula
konceptualizační | nula
konceptualizovatelný | nula
kondensovaný | dva
kondensovat | dva
kondenzovanější | dva
kondenzovaný | dva
kondenzovat | dva
kondenzovatelný | dva
kondolovaný | dva
kondolovat | dva
konfucianismus | osm
kongresman | osm
kongresmanův | osm
konjukturalismus | osm
konjunkturalismus | osm
konsilium | osm
konsolidovanější | dva
konsolidovaný | dva
konsolidovat | dva
konsorcium | osm
konstitucionalista | nula
konstitucionalistka | nula
konsultace | nula
konsultační | nula
konsultovaný | nula
konsultovat | nula
konsumace | osm
konsumování | osm
konsumovaný | osm
konsumovat | osm
kontextualismus | osm
konzervatismus | osm
konzervativismus | osm
konzultace | nula
konzultační | nula
konzultantčin | nula
konzultant | nula
konzultantský | nula
konzultantův | nula
konzultativní | nula
konzultovaný | nula
konzultovat | nula
konzultovávaný | nula
konzultovávat | nula
konzumismus | osm
koordinovanější | dva
koordinovaný | dva
koordinovat | dva
koprnět | pět
korespondovaný | dva
korespondovat | dva
kormidlovaný | dva
kormidlovat | dva
korodovaný | dva
korodovat | dva
korodovatelný | dva
kosmatější | osm
kosmatka | osm
kosmatý | osm
kosme | osm
kosmetický | osm
kosmetiččin | osm
kosmetička | osm
kosmetika | osm
kosmetologie | osm
kosmický | osm
kosmičtější | osm
kosmogonie | osm
kosmografický | osm
kosmografie | osm
kosmologický | osm
kosmologie | osm
kosmolog | osm
kosmologův | osm
kosmoložčin | osm
kosmoložka | osm
kosmonautčin | osm
kosmonautický | osm
kosmonautika | osm
kosmonautka | osm
kosmonaut | osm
kosmonautův | osm
kosmonoský | osm
kosmopolita | osm
kosmopolitčin | osm
kosmopolitický | osm
kosmopolitičtější | osm
kosmopolitizující | osm
kosmopolitka | osm
kosmopolitnější | osm
kosmopolitní | osm
kosmopolitův | osm
kosmos | osm
kosmos | osm
kosmu | osm
kosodřevina | dva
kostomlatský | osm
kostřička | tři
kostýmek | osm
kostymérčin | osm
kostymérka | osm
kostymér | osm
kostymérův | osm
kostým | osm
kostýmní | osm
kostýmování | osm
kostýmovaný | osm
kostýmový | osm
koupěchtivý | pět
krasosmutnění | osm
kreacionismus | osm
kryptorchismus | osm
krytosemenný | osm
křídlovka | dva
křídovaný | dva
křídovat | dva
kšeftařčin | tři
kteřísi | tři
ktříkoli | tři
ktříkoliv | tři
kubofuturismus | osm
kvedlávaný | dva
kvedlávat | dva
květinářčin | tři
kydávaný | dva
kydávat | dva
kypět | pět
ládovaný | dva
ládovat | dva
lartpourlartismus | osm
láteřit | tři
latinářčin | tři
ledovaný | dva
ledovat | dva
ledovatět | dva
ledovatý | dva
ledovka | dva
ledvina | dva
ledvinka | dva
lidospráva | dva
lidovka | dva
lidovláda | dva
likvidovaný | dva
likvidovat | dva
likvidovatelný | dva
liposom | osm
liteřina | tři
litoměřický | tři
litoměřický | tři
lobbismus | osm
lobbyismus | osm
lobismus | osm
logicismus | osm
loutkářčin | tři
lpět | pět
lukostřelkynin | tři
madeirizovaný | dva
madeirizovat | dva
magistřin | tři
majetkářčin | tři
majorismus | osm
mandlovací | dva
mandlovaný | dva
mandlovat | dva
mandlovna | dva
maniodepresivita | dva
manipulace | nula
manipulační | nula
manipulantčin | nula
manipulant | nula
manipulátorka | nula
manipulovanější | nula
manipulovaný | nula
manipulovat | nula
manipulovatelnější | nula
manipulovatelný | nula
manšestráky | šest
manšestr | šest
manšestrový | šest
maoismus | osm
masochismus | osm
mastičkářčin | tři
mateřinka | tři
mateřština | tři
matikářčin | tři
matrikářčin | tři
meandrovat | dva
medializovaný | dva
medializovat | dva
medievalistčin | dva
medievalistův | dva
medikovaný | dva
meditovaný | dva
meditovat | dva
medovina | dva
meldovaný | dva
meldovat | dva
meliorismus | osm
metabolismus | osm
metařčin | tři
meteorismus | osm
mezipředmětový | pět
mikromechanismus | osm
minipublikace | nula
místopředsedčin | tři
místopředsedkynin | tři
místopředsednický | tři
místopředsednictví | tři
mistřický | tři
mnohasetmetrový | osm
mnohasetmilionový | osm
mnohasetmiliónový | osm
mocenskoadministrativní | osm
modelovací | dva
modelovaný | dva
modelovat | dva
modernismus | osm
modernizovanější | dva
modernizovaný | dva
modernizovat | dva
moderovaný | dva
moderovat | dva
modifikovanější | dva
modifikovaný | dva
modifikovat | dva
modifikovatelnější | dva
modifikovatelný | dva
modlívat | dva
modulovaný | dva
modulovat | dva
moldavština | dva
monarchismus | osm
mondialismus | osm
monetarismus | osm
monismus | osm
monokultura | nula
monstrum | osm
monumentalista | nula
monumentalistka | nula
moralismus | osm
moravismus | osm
mordovaný | dva
mordovat | dva
mordvinština | dva
morfismus | osm
morganismus | osm
mosambický | osm
mosazemi | osm
mosazím | osm
moštárenství | šest
mudrovaný | dva
mudrovat | dva
multiinstrumentalista | nula
multiinstrumentalistka | nula
multimilionářčin | tři
mydlívaný | dva
mydlívat | dva
mydlovarský | dva
naadresovaný | dva
nabodávaný | dva
nabodávat | dva
nabulíkovaný | nula
nabulíkovat | nula
nabulíkovávaný | nula
nabulíkovávat | nula
nacionalismus | osm
nacmrndávat | dva
nadabovaný | dva
nadabovat | dva
nadávající | dva
nadávanější | dva
nadávaný | dva
nadávat | dva
nadávka | dva
nadbíhávaný | dva
nadbíhávat | dva
nadčesávaný | dva
nadčesávat | dva
nadčlověka | dva
nadefinovanější | dva
nadefinovaný | dva
nadefinovat | dva
nadefinovatelnější | dva
nadefinovatelný | dva
nadehtovaný | dva
nadehtovat | dva
nadechovaný | dva
nadechovat | dva
nadeklarovaný | dva
nadeklarovat | dva
nadekretovaný | dva
nadekretovat | dva
nadělávaný | dva
nadělávat | dva
nadělovací | dva
nadělovanější | dva
nadělovaný | dva
nadělovat | dva
nadělovatelnější | dva
nadělovatelný | dva
nadepisovanější | dva
nadepisovaný | dva
nadepisovat | dva
